ra,dec,mag,ci,proper,hip,spect,gl
18.1848,-25.7623,6.67,1.422,,89097,K2III/IV,
18.1849,-41.3591,5.86,0.295,,89099,F0Vn,
18.1853,60.4095,6.5,-0.002,,89104,A1Vnn,
18.1869,39.1006,7.02,0.025,,89110,A0,
18.1872,-45.9544,4.52,1.009,,89112,G5III,
18.1874,-19.842,6.33,0.158,,89114,A2V,
18.1877,-75.8915,5.86,1.253,,89115,K3III,
18.1908,-5.205,6.74,0.062,,89133,B9,
18.1922,25.5612,6.78,1.11,,89139,K1III,
18.1931,48.2895,6.65,1.074,,89143,K0,
18.1947,-35.0254,7.11,-0.027,,89146,B9III,
18.1953,-55.3617,6.78,1.674,,89152,M0III,
18.1954,-23.7012,4.96,1.055,,89153,K0III,
18.1959,33.4471,5.98,0.045,,89156,A3V,
18.1976,-56.4009,7.14,0.093,,89171,A2/A3V,
18.1984,31.4053,4.96,1.643,,89172,M3III,
18.1988,-5.624,7.22,0.318,,89174,A2,
18.1992,-20.4234,7.23,0.01,,89177,B1Ib,
18.1995,-28.9015,6.51,-0.016,,89178,B9IVspe...,
18.2017,-34.0687,7.24,-0.071,,89189,B4III,
18.2029,8.227,7.18,1.312,,89195,K0,
18.2031,33.2917,6.94,1.578,,89198,K5,
18.2041,-19.4328,7.16,0.579,,89203,B3Ia/Iab,
18.2089,24.4517,6.98,1.117,,89230,K0,
18.2095,-73.6724,5.86,0.464,,89234,F5V,
18.2112,2.8128,6.68,0.072,,89242,B9,
18.2118,41.1468,6.36,1.038,,89246,K0III,
18.2145,22.825,6.97,1.686,,89255,M0,
18.2156,-50.5588,6.51,0.351,,89264,F0V,
18.2174,-23.1173,7.09,0.615,,89276,F7/F8Ib/II,
18.2177,2.9806,6.82,0.123,,89277,A2,
18.218,38.7735,6.04,-0.057,,89279,B9IIIn,
18.2189,-60.1431,7.08,0.43,,89285,F3V,
18.2194,-4.0116,6.59,0.276,,89288,A2m,
18.2202,-41.3361,5.47,-0.155,,89290,B2.5III,
18.221,16.2732,6.77,0.545,,89294,F8IV,
18.2213,21.8803,6.14,1.472,,89298,K4III,
18.2236,11.8843,6.88,0.028,,89309,A0,
18.227,-31.9673,6.79,-0.043,,89330,B7II,
18.2273,10.8261,7.12,1.576,,89331,K5,
18.228,-41.1268,7,1.298,,89335,K1III,
18.2286,-75.5507,7.12,0.003,,89338,B9V,
18.2294,-21.0588,3.84,0.195,Polis,89341,B2III:,
18.2299,-46.3126,6.82,0.035,,89342,A1V,
18.2302,-43.2043,6.94,1.05,,89345,K0III,
18.2312,2.3935,6.43,1.545,,89347,K2,
18.2315,64.3973,4.99,0.44,,89348,F5V,Gl 708.1
18.2355,28.2164,6.84,1.092,,89362,K1III,
18.2363,-27.5028,7.16,-0.017,,89366,B8II/III,
18.2373,70.8344,7.09,0.212,,89368,A3,
18.2377,-21.7132,5.49,1.528,,89369,K2III,
18.2379,-63.6897,6.47,1.414,,89370,K4III,
18.24,-70.7512,6.7,-0.025,,89382,B7/B8II/III,
18.2447,56.5882,6.66,0.362,,89401,F1V,
18.2456,29.2073,6.51,0.579,,89408,F8V,
18.2456,-45.5952,7.19,1.552,,89409,K5III,
18.2489,49.1583,6.83,1.233,,89420,K2,
18.2494,-15.3847,7.09,1.172,,89422,K1III,
18.2514,-29.823,6.81,1.681,,89429,M1III,
18.2536,-20.7283,5.29,0.007,,89439,B0/1Ia/ab,
18.2536,-20.388,5.96,-0.023,,89440,B0.5Ib/II,
18.2544,54.1407,6.83,0.951,,89446,K2,
18.2547,68.7558,5.96,1.055,,89448,K1III:,
18.2574,-48.8516,6.58,0.891,,89460,G8III/IV,
18.2576,-34.5945,6.92,-0.049,,89463,B9IV,
18.258,86.6578,6.51,1.604,,89465,M...,
18.2585,-18.6616,6.05,0.165,,89470,Ap Si,
18.259,45.2093,6.3,0.641,,89474,G2V,Gl 708.4
18.2608,42.1593,5.56,-0.111,,89482,B7IV,
18.2612,-33.0916,6.94,0.013,,89486,B9V,
18.2613,-63.0554,5.58,0.944,,89487,K0III/IV,
18.264,-43.1687,7.04,-0.004,,89500,B9V,
18.2641,-36.5738,6.94,-0.11,,89502,B3III,
18.2648,30.3999,6.76,1.029,,89505,K0,
18.2648,-44.2065,5.45,0.962,,89507,G8/K0III,
18.2661,-3.618,6.35,0.201,,89512,A4V,
18.2669,53.2967,7.22,0.972,,89515,G8III,
18.2682,2.3775,6.1,1.55,,89527,M4III,
18.2686,-56.6509,6.91,1.277,,89530,K3III,
18.2692,21.0399,7.2,0.058,,89532,B9,
18.2746,-57.4471,7.03,0.465,,89558,F5V,
18.2765,-20.5445,6.89,1.027,,89567,A7:,
18.277,48.1052,6.9,1.402,,89570,K2,
18.2814,-3.0074,5.99,0.89,,89587,G3III,
18.2826,-27.7159,6.66,1.246,,89592,K1III,
18.283,68.7415,6.79,-0.071,,89594,A0,
18.2832,12.0677,7.17,0.76,,89595,F8III,
18.2836,-51.0683,6.06,-0.046,,89597,B9V,
18.2847,1.0057,6.62,0.312,,89601,F2V,
18.2851,33.5354,7.03,1.33,,89602,K2,
18.2852,40.9367,6.12,0.977,,89604,G9III,
18.2854,-56.0234,5.36,-0.05,,89605,B3IIIpe,
18.2866,-17.3739,5.81,1.569,,89609,K2III,
18.2876,-76.5838,7.15,1.295,,89615,K2/K3III,
18.2883,-38.1777,6.69,1.139,,89617,G8II,
18.2899,-28.289,6.36,0.536,,89620,F8V,
18.29,-28.6521,6.18,0.184,,89622,A5V,
18.29,-9.7586,6.29,0.382,,89623,A8V,
18.2913,-18.4634,6.52,0.043,,89630,O8/O9,
18.2934,-34.1073,6.03,-0.096,,89637,B3/B4IV/V,
18.2938,-15.4307,6.72,0.398,,89641,B3Ia/Iab,
18.2938,-36.7617,3.1,1.582,,89642,M2III,
18.2975,-33.3962,7.01,-0.068,,89660,B8II,
18.2975,-18.7985,6.74,0.001,,89659,B6II/III,
18.2977,-27.3547,7.21,1.777,,89662,M1/M2III,
18.2978,11.8778,7.05,-0.07,,89665,B8,
18.3003,-68.2293,6.32,-0.026,,89674,B9V,
18.3008,13.777,6.29,-0.04,,89677,B5V,
18.3009,-27.0426,4.66,1.629,,89678,K3III,
18.3021,18.1317,6.24,-0.004,,89684,B9V,
18.3021,23.2969,6.45,1.698,,89683,K5,
18.3034,11.3963,7.17,1.635,,89688,K5,
18.305,46.4071,7,0.912,,89694,G5,
18.3052,-61.2086,7.2,0.897,,89695,G6III,
18.3057,-54.3324,6.91,1.677,,89698,M0III,
18.3068,12.9804,6.76,0.002,,89700,B9,
18.3085,-34.6861,6.93,-0.058,,89708,B7/B8III,
18.3112,-42.2884,6.3,-0.144,,89726,B0.5Ia,
18.3116,-25.6048,6.51,1.346,,89731,K0III,
18.3183,12.1933,7.1,-0.083,,89767,B8,
18.319,71.5179,6.68,0.444,,89770,F5,
18.3193,7.2598,5.41,1.084,,89772,K2III,
18.3196,24.4461,5.3,1.508,,89773,K4II SB,
18.3212,15.826,6.98,0.291,,89777,A3,
18.3278,-63.8866,6.17,0.584,,89805,F9V,
18.3279,67.4351,6.92,1.654,,89807,M0,
18.3281,-45.6992,6.84,0.533,,89808,F7V,GJ 9624
18.3306,-17.7508,6.96,1.574,,89823,K2/K3III,
18.331,36.0645,4.33,1.162,,89826,K2IIIvar,
18.3311,29.6664,6.01,1.319,,89827,K4III,
18.3322,51.3478,6.3,1.112,,89835,K1III:,
18.3338,-48.7652,6.56,0.149,,89840,A3IV/V,
18.3344,-9.5957,6.92,0.724,,89844,G5,GJ 4052
18.3348,-7.9813,6.54,0.401,,89846,F5,
18.3358,-15.8317,5.39,1.473,,89851,K3III,
18.338,-35.4287,6.87,-0.041,,89859,B5III,
18.3383,21.9613,4.92,1.594,,89861,M1III,
18.3393,-56.2157,6.94,1.012,,89872,G8/K0III,
18.3404,28.9835,6.61,-0.096,,89878,B8,
18.3412,-44.0769,7.18,1.616,,89887,M3III,
18.3441,22.7974,6.8,-0.05,,89898,B8V,
18.345,-59.8399,6.99,-0.114,,89902,B2V,
18.346,71.3378,4.22,-0.093,,89908,A0p (Si),
18.347,27.5303,6.99,0.636,,89912,G2IV,
18.3478,3.3772,4.85,0.911,,89918,G8III,
18.3487,-37.4876,6.46,1.315,,89920,K2II,
18.3488,-33.3335,7.05,0.167,,89922,A2IV/V,
18.3492,29.8589,5.61,0.231,,89925,A5m,
18.3499,-29.8281,2.72,1.38,Kaus Media,89931,K3III,
18.3503,28.87,5.12,0.212,,89935,A7V,
18.3504,-43.7748,6.65,0.276,,89936,A3m...,
18.3506,-15.2307,6.94,1.76,,89938,K3III,
18.3507,72.7328,3.55,0.489,,89937,F7Vvar,Gl 713A
18.352,49.7255,6.39,1.086,,89943,K1III,
18.3534,-26.0851,6.91,0.249,,89954,A6V,
18.354,-39.0218,6.77,0.128,,89955,A0II/III(p),
18.3546,-30.9415,6.99,0.023,,89960,B6V,
18.3552,-2.8988,3.23,0.941,,89962,K0III-IV,Gl 711
18.3564,-18.86,5.76,0.67,,89968,F8II,
18.3577,25.0568,6.99,-0.09,,89975,B3V,
18.3579,5.4357,6.14,-0.048,,89977,B3Ve,
18.3582,51.3011,6.65,1.387,,89978,K5,
18.3587,-24.9153,6.19,1.823,,89980,M3III,
18.3591,49.1216,5.02,1.619,,89981,M2III,
18.3635,21.5078,6.83,-0.09,,89999,B8,
18.3667,-28.43,6.15,0.264,,90012,A3III,
18.3691,23.2852,5.41,1.633,,90023,K5III,
18.3697,-7.4988,7.04,0.094,,90030,B9,
18.3699,51.5419,6.84,0.131,,90031,A2,
18.3705,-15.0883,7.11,,,90032,F0V + (K),
18.3711,-14.3887,7.1,0.619,,90034,A1Ib,
18.3717,7.5489,7.2,0.561,,90036,G0,
18.3718,-38.6569,5.09,1.498,,90037,K4/K5III,
18.3765,12.0297,5.99,0.056,,90052,A2V,
18.3803,17.8266,5.25,1.25,,90067,K3III,
18.3803,7.2067,7.09,1.36,,90069,K1III,
18.3814,-36.6696,5.33,-0.121,,90074,B7Ib/II,
18.3824,20.9637,7.15,1.086,,90077,K0,
18.3832,46.3627,7.22,0.309,,90079,F0,
18.3839,-10.219,6.32,0.13,,90083,B9.5V,
18.3841,16.688,6.22,1.216,,90086,K0,
18.3846,-60.7492,6.8,0.245,,90089,A7III,
18.3867,-12.0148,5.71,0.006,,90096,B5V,
18.3871,-61.4939,4.35,1.462,,90098,M1III SB,
18.3887,14.7,6.74,-0.034,,90111,B9,
18.3913,-36.238,5.52,1.015,,90124,K0III,
18.3917,-42.323,7.07,1.028,,90125,G8III,
18.3935,-75.0443,5.47,0.043,,90133,A0V,
18.3943,-8.9344,4.66,0.932,,90135,K0III,
18.395,21.7698,3.85,1.168,Tusizuo,90139,K2III,
18.3956,38.3451,6.92,-0.004,,90140,A0,
18.3963,23.6829,7.04,1.352,,90143,K0,
18.3967,53.3008,6.35,0.168,,90146,A3m,
18.3985,58.8007,4.98,0.082,,90156,A3V,
18.3992,38.7392,6.41,1.429,,90163,K2,
18.4,43.9077,6.63,1.682,,90170,M2III,
18.401,-3.5832,6.36,0.351,,90174,F6III-IV,
18.4016,20.4524,6.75,0.305,,90176,F0,
18.4024,79.2227,6.54,1.092,,90179,K0,
18.4026,83.1754,6.16,0.051,,90182,A2V,
18.4029,-34.3846,1.79,-0.031,Kaus Australis,90185,B9.5III,
18.4029,77.5614,7.03,0.991,,90186,K0,
18.403,42.4669,6.65,0.097,,90187,A2,
18.4038,39.5072,5.11,0.047,,90191,A3IVn,
18.4051,-44.1103,5.24,-0.163,,90200,B2.5Vn,
18.4092,-49.6529,6.45,0.593,,90223,G2V,
18.4102,-32.2911,7.1,1.389,,90229,K1IIICN...,
18.4117,-7.0759,6.28,1.161,,90238,K0,
18.4119,-6.6038,7.18,0.604,,90239,G0IV...,
18.4159,-1.5794,6.15,0.381,,90253,F1V,
18.4162,27.3948,6.27,0.053,,90256,A2Vn,
18.4171,-30.7566,5.58,1.138,,90260,K0III,
18.4191,5.0846,6.73,0.011,,90271,B9V,
18.4195,64.8384,6.84,0.995,,90274,K0,
18.42,49.8645,7.16,1.02,,90275,K0,
18.4209,-13.9784,6.61,0.778,,90281,B1Ia,
18.4213,-57.0955,6.85,0.441,,90282,F5V,
18.4217,48.7618,7.21,0.799,,90284,G5,
18.4225,-20.5417,4.81,1.31,,90289,A1/A2V,
18.4227,-35.992,6.14,1.006,,90290,K0III,
18.4244,22.7068,6.8,-0.087,,90295,B2.5IV-V,
18.4248,22.0335,7.23,0.787,,90296,G5,
18.4255,-63.0215,6.13,0.202,,90304,A3V,
18.4274,8.032,5.64,0.884,,90313,G8III-IV+..,
18.4298,35.3427,7.22,0.859,,90325,G5,
18.4318,-33.9457,6.3,-0.075,,90336,B7III,
18.432,14.9662,6.37,-0.037,,90337,B9V,
18.433,29.8289,5.81,0.068,,90342,A2IV,
18.4331,65.5635,4.82,1.179,Fafnir,90344,K2III,
18.4343,0.7805,6.87,0.277,,90347,A3,
18.436,79.6286,7.21,0.302,,90353,A5,
18.4388,26.2277,6.89,-0.126,,90361,B3V,
18.4414,26.461,7.09,-0.101,,90377,B2V,
18.4441,59.7056,7.05,0.947,,90394,K0,
18.4447,-30.3933,6.75,0.548,,90397,G0V,
18.4447,26.4492,6.5,-0.107,,90398,B3V,
18.4475,30.9684,7.01,1.189,,90410,K0,
18.4483,-48.1172,5.44,0.855,,90414,K0/K1III+..,
18.4493,-79.2694,7.16,1.201,,90421,K1III,
18.4496,-45.9685,3.49,-0.179,,90422,B3IV,
18.4525,-8.0404,6.5,1.054,,90437,K0,
18.4535,0.1961,5.2,0.487,,90441,G0III+...,
18.4553,-53.6339,7.2,0.973,,90448,K0III,
18.4564,-36.016,7.11,-0.033,,90452,B8/B9III,
18.4587,-15.3736,6.95,0.475,,90459,F5V,
18.4612,53.951,7.23,0.873,,90473,G5,
18.4617,59.5491,6.43,0.979,,90476,K0IV,
18.4622,-26.6348,6.31,0.263,,90478,A7V,
18.4627,24.6974,6.94,0,,90483,B9,
18.4637,-29.8169,5.9,0.517,,90485,F8V,
18.464,3.7486,6.07,1.61,,90487,K3III,
18.4657,-17.8004,6.19,0.003,,90494,B8III/IV,
18.4662,-25.4217,2.82,1.025,Kaus Borealis,90496,K1IIIb,Gl 713.1
18.4663,6.1941,5.71,-0.034,,90497,B8III-IV,
18.4684,-26.7572,6.28,0.157,,90510,A3/A4V,
18.4684,-84.3873,6.49,-0.035,,90509,B8/B9V,
18.4686,-22.9996,6.96,1.019,,90513,G8/K0III,
18.4742,-38.9957,5.63,0.14,,90541,A2m...,
18.4764,-77.3662,6.84,1.077,,90549,K0III,
18.4766,46.4233,7.21,0.293,,90551,F0,
18.4805,-49.0706,4.1,0.995,,90568,G8/K0III,
18.4826,-26.5821,6.68,0.095,,90576,A3III,
18.4865,29.5538,7.21,0.95,,90594,K0III,
18.4866,-14.5658,4.67,0.076,,90595,A1IV/V,
18.4866,-29.2595,6.88,0.463,,90596,F5V,
18.4869,-43.8459,6.36,0.904,,90597,G8III,
18.488,-38.8513,6.63,-0.019,,90604,B9III,
18.4889,-80.2327,5.95,1.173,,90606,K2III,
18.4891,17.9839,6.78,-0.064,,90609,B9,
18.4894,-25.2566,6.63,0.002,,90610,B2Vnne,
18.491,13.855,7.02,0.451,,90618,F6V,
18.4933,23.8662,5.87,-0.096,,90637,B6IV,
18.4939,-33.934,7.04,-0.038,,90639,B8V,
18.4947,-1.9853,5.38,0.961,,90642,K0III,
18.4958,77.5471,5.65,1.192,,90647,K4III,
18.4963,-14.582,6.02,0.006,,90651,Ap,
18.4989,-47.2205,5.69,1.258,,90662,K2III,
18.4991,-57.5231,5.74,0.987,,90664,K0III,
18.4992,10.483,6.91,0.337,,90665,F0,
18.4998,15.9444,7.17,1.024,,90669,K0,
18.5012,-43.834,7.11,0.496,,90674,F5/F6IV,
18.5014,4.0654,6.66,0.11,,90676,B2V,
18.5033,-18.7288,5.63,1.057,,90687,K0III,
18.504,-5.7242,6.27,0.953,,90692,G8II-III,
18.5081,-23.2506,6.99,1.482,,90713,G8Ib/II,
18.5091,40.9758,6.99,1.227,,90720,K2,
18.5114,4.5108,6.95,0.211,,90728,A2,
18.5116,20.815,6.49,0.795,,90729,G8IV,
18.5156,-48.0148,6.6,0.52,,90743,F6V,
18.5175,-41.9138,6.02,0.138,,90759,A3V,
18.5179,16.9286,5.76,0.053,,90762,A2V,
18.518,-32.9891,5.37,0.182,,90763,A5V,
18.5199,-36.8092,6.98,0.349,,90775,A9IV,
18.5208,65.436,6.6,0.341,,90780,A8m,
18.5219,62.538,7.19,0.9,,90789,F2,
18.5219,-18.9088,6.81,0.861,,90790,K1V,Gl 716
18.5228,-0.482,7.07,-0.01,,90795,B8,
18.5229,-62.2783,4.63,-0.116,,90797,B8III,
18.5238,-10.7958,5.77,0.379,,90804,B2V,
18.524,-18.4027,5.12,0.016,,90806,B9/B9.5V,
18.5247,-1.6349,7.21,0.383,,90810,F2,
18.5293,-45.9148,4.92,-0.101,,90830,B6IV,
18.5293,45.9888,7.15,1.201,,90831,K0,
18.5295,-2.4185,7.19,1.272,,90832,K2,
18.5315,-19.1251,6.59,1.07,,90836,G1Ib,
18.5323,-43.5074,5.71,1.322,,90842,K2III,
18.5325,-1.003,5.93,0.17,,90844,A4III,
18.5339,-45.7574,5.07,-0.127,,90853,B3III,
18.5352,3.6596,6.41,-0.025,,90858,A0sp...,
18.5362,13.7366,7.2,0.692,,90864,G8V,GJ 1229
18.5365,52.1155,6.58,-0.061,,90865,B9.5V,
18.5372,-29.1902,7.02,0.848,,90874,G6IV,
18.5386,67.7769,6.66,1.396,,90882,K5,
18.5391,-14.6443,6.36,0.217,,90884,A4/A5IV/V,
18.5392,45.7744,6.96,1.501,,90886,K5,
18.5393,-39.704,5.16,0.079,,90887,A3V,
18.5414,-18.9727,6.97,1.333,,90900,G3/G5Ib,
18.5426,-35.3496,6.95,1.179,,90904,K0III,
18.5429,57.0456,4.77,0.611,,90905,F7Ib,
18.5439,46.0925,6.69,1.298,,90908,K0,
18.5454,-14.8657,5.47,1.998,,90913,K3Iab,
18.5462,23.6168,5.88,1.49,,90915,K5III,
18.5472,30.5542,5.47,-0.077,,90923,B8IV,
18.5487,-73.9656,5.88,0.992,,90930,K0III,
18.5502,-39.892,6.22,0.429,,90936,F5V,
18.5506,-16.5602,6.97,1.46,,90939,K0/K1II/III,
18.552,-5.1625,7.03,1.043,,90946,G5,
18.5524,40.5323,6.93,0.971,,90948,K0,
18.5528,-18.3684,6.79,0.46,,90950,B0Ia/ab,
18.554,-24.1095,6.81,0.018,,90953,B3III/IV,
18.5541,18.9156,6.83,1.044,,90955,K0,
18.5563,-5.9117,6.36,0.034,,90967,A0Vn,
18.5564,30.8921,6.55,-0.102,,90970,B4V,
18.5564,-38.72,6.31,0.02,,90969,B8,
18.5564,-38.726,5.67,-0.06,,90968,B9.5,
18.5565,8.2683,6.42,-0.044,,90971,B8IIIp SiSr:,
18.5582,-58.7088,6.4,0.688,,90981,G5IV,
18.5584,-42.3125,4.62,0.994,,90982,G5III,
18.5608,-14.8536,5.74,0.043,,90991,A0/A1V,
18.5627,17.7322,7.08,,,90996,F6V,
18.5632,-71.7686,7.01,0.279,,90997,F0III,
18.5632,46.2192,6.73,-0.053,,90999,A0,
18.5649,-24.0323,5.49,1.795,,91004,K3III,
18.5657,52.3535,5.38,1.091,,91013,K0III,
18.566,-33.0166,5.28,-0.115,,91014,B2III/IV,
18.5681,-32.9611,7.13,0.002,,91020,B9IV/V,
18.5707,-66.2793,6.76,0.894,,91035,A(V) + G5III,
18.5721,20.4664,6.57,0.125,,91041,A3V,
18.5721,29.7418,6.64,1.025,,91042,K0III,
18.5737,-54.0881,6.72,0.413,,91050,F3II,
18.5737,-19.7847,7.18,1.369,,91051,K1III,
18.5742,-34.8157,6.91,0.303,,91054,F0V,
18.5752,51.7823,6.51,1.472,,91061,M0,
18.5753,-52.8915,6.21,1.254,,91062,K2III,
18.5754,6.4623,7.22,1.243,,91063,K2,
18.5758,-24.2224,6.53,0.515,,91066,F2II,
18.5783,-50.7217,6.79,1.296,,91084,K2III,
18.5797,21.4862,7.21,0.067,,91088,A0,
18.5799,10.892,6.48,0.032,,91090,A1V,
18.5816,-52.3875,6.83,1.13,,91093,K0III,
18.584,-10.9772,5.12,0.926,,91105,G8III,
18.5855,-16.9855,7.1,0.431,,91112,A3III,
18.5868,-8.2441,3.85,1.317,,91117,K2III,
18.5868,18.2034,5.79,0.006,,91118,A0Vn,
18.5871,34.458,6.1,-0.115,,91119,B5Vn,
18.5874,41.5816,7.16,0.442,,91120,F5,
18.5879,-39.6944,7.17,0.266,,91125,A7IV,
18.5893,-20.8404,6.49,0.28,,91132,F0IV/V,
18.5899,-19.2685,6.77,1.77,,91135,M3/M4III,
18.5907,-32.8908,6.86,0.122,,91137,A0V,
18.5918,23.6055,5.62,1.015,,91139,G8III,
18.5935,4.936,6.47,0.075,,91142,A2pvar,
18.5935,-18.5506,7.08,0.218,,91143,B1/B2Iab,
18.5954,-29.9375,6.91,1.169,,91149,K1II,
18.5981,16.9757,6.21,0.542,,91159,G2Vv comp,
18.5985,72.3803,6.81,1.34,,91163,K2,
18.5999,-29.6991,6.36,1.272,,91172,K1III,
18.6,-14.0656,7.21,0.21,,91174,Asp...,
18.6022,-6.7421,6.95,1.325,,91185,K2,
18.6033,41.2781,6.92,0.066,,91192,A0...,
18.6037,65.4887,6.07,0.279,,91196,F0V,
18.6042,30.5847,6.68,1.236,,91200,G5,
18.6077,9.1225,5.38,0.387,,91217,F5III,
18.6081,4.955,6.73,1.142,,91220,K1III,
18.6103,22.1076,6.76,0.068,,91234,B9,
18.6104,33.469,5.41,-0.101,,91235,B8II-IIIp..,
18.6109,6.6718,5.43,0.386,,91237,F3V,
18.6115,-56.227,6.94,1.102,,91245,K1III,
18.6117,15.4481,6.75,0.979,,91247,K0,
18.6127,43.2218,6.21,0.251,,91250,F0V,
18.6132,-15.9455,7.01,1.924,,91251,K3/K4III,
18.615,3.7899,6.6,0.899,,91259,K0,
18.6156,38.7837,0.03,-0.001,Vega,91262,A0Vvar,Gl 721
18.6176,-28.5131,6.78,0.954,,91273,K0IV,
18.6186,-19.2094,7.01,1.585,,91276,G8Ib,
18.6192,16.1983,6.31,0.896,,91279,G8IV,
18.6193,0.9511,6.88,0.569,,91281,F8,
18.6202,11.4215,6.57,-0.011,,91286,B9V,
18.621,-40.8036,6.96,1.49,,91292,G6IICNIV,
18.6224,11.3558,6.88,0.032,,91297,A0,
18.6233,77.6868,6.94,0.363,,91298,F0,
18.6238,-47.0746,6.88,0.362,,91301,F0IV/V,
18.6247,29.5849,6.7,1.294,,91306,K4III,
18.6249,-2.92,6.74,1.272,,91308,K0,
18.6253,37.7807,7.03,1.54,,91310,K5,
18.6258,-12.3499,6.95,0.476,,91314,F6V,
18.626,62.5266,5.74,-0.045,,91315,A0V,
18.6267,-0.3095,5.76,0.067,,91322,A2V,
18.6293,-4.8068,6.77,0.374,,91337,F2,
18.6301,5.8835,6.68,-0.026,,91338,B8,
18.631,-17.2313,6.78,0.582,,91343,F2V,
18.6318,-21.3977,5.93,0.189,,91347,A5IV,
18.6325,-2.5905,6.9,1.079,,91355,K0,
18.6333,28.6299,6.92,-0.117,,91361,A0,
18.6346,-14.0048,6.49,0.189,,91369,B8II/III,
18.6351,39.6683,6.02,1.444,,91373,M4.5II,
18.6386,-1.113,6.64,0.433,,91384,F1IV-V,
18.6399,-3.1936,6.49,0.553,,91394,F9IV,
18.6401,63.5329,6.85,1.14,,91396,K0,
18.6401,60.7111,6.65,0.393,,91397,F2,
18.6405,36.0531,7.21,0.405,,91399,A5...,
18.6419,-23.5049,5.78,-0.018,,91405,B8III,
18.6421,-48.7208,6.54,1.407,,91406,K3/K4III,
18.6429,15.0837,6.78,0.023,,91408,A0,
18.6444,4.8548,6.71,1.09,,91418,K0,
18.645,-30.0279,6.84,0.401,,91424,F2IV,
18.6476,52.3439,6.92,0.432,,91436,F2,
18.6482,-21.0519,5.85,0.673,,91438,G5V,Gl 722
18.6486,6.2708,7.14,0.284,,91440,A5,
18.6496,32.2293,7.12,1.556,,91444,K5,
18.6506,-23.1821,6.71,0.647,,91446,F5II,
18.6526,-70.8032,7.13,1.25,,91454,K2III,
18.6537,-1.9522,7.13,1.417,,91459,K0,
18.654,-47.9098,5.84,0.233,,91461,A3V,
18.6547,-59.1218,7.15,1.061,,91464,G8/K0III,
18.655,-34.1663,6.65,0.006,,91466,B9.5V,
18.6554,59.528,6.92,1.432,,91469,K5,
18.6592,40.9351,6.25,-0.052,,91491,B9V,
18.6598,-43.1859,5.42,1.654,,91494,M2III,
18.6602,5.2643,6.36,0.8,,91499,F8Ib-II,
18.661,8.7328,7.01,1.07,,91503,K0III,
18.6633,-58.8692,6.75,1.177,,91512,K1III,
18.6643,7.3586,6.26,0.962,,91523,G8III,
18.6647,52.1961,6,-0.067,,91525,A0p...,
18.6649,-20.0713,6.67,0.261,,91527,A8III,
18.6668,-7.7908,5.82,1.536,,91532,K4III,
18.6672,30.8495,6.43,0.9,,91533,K0,
18.6701,38.3672,6.45,0.22,,91552,A6m,
18.6719,12.0542,7.01,0.271,,91559,A0,
18.6725,-58.7799,7,0.974,,91565,G6III,
18.6727,26.1309,6.85,0.019,,91568,B9,
18.6729,8.8685,6.93,0.22,,91571,A2III,
18.6766,-33.8568,7.05,1.35,,91584,K2III,
18.6789,-47.0272,6.8,0.079,,91589,A1/A2IV/V,
18.6795,8.7929,7.21,0.35,,91594,F0II-III,
18.6823,62.7495,6.1,0.978,,91606,K0III,
18.687,-42.1666,7.1,0.127,,91629,A2IV,
18.6878,30.2908,6.91,0.54,,91635,G5,
18.6879,30.2946,6.79,0.82,,91636,G5IV,
18.689,4.5582,7.06,0.506,,91645,F8,
18.6892,-50.4727,6.54,0.877,,91647,G8III,
18.6913,12.2365,6.83,0.998,,91659,K2II,
18.6919,-48.0947,6.47,1.22,,91662,K3III,
18.6929,-3.1185,6.69,1.172,,91665,K0,
18.6947,40.7178,6.64,0.327,,91674,F0,
18.6948,31.6176,6.41,-0.047,,91675,B8V,
18.6951,-14.5642,6.4,0.757,,91677,F2/F3Ib/II,
18.6977,-23.8334,6.22,0.231,,91689,A3m...,
18.7022,34.7463,6.49,-0.116,,91707,B5V,
18.7028,-17.0111,7.14,1.683,,91714,K1IIICN...,
18.704,-81.8081,6.27,-0.104,,91723,B8V,
18.7046,-9.0525,4.7,0.358,,91726,F2IIIp d Del,
18.705,-7.3373,6.91,1.702,,91728,M0,
18.7062,-47.761,6.6,0.466,,91732,F5V,
18.7063,-64.643,6.35,0.153,,91733,A5V,
18.7071,-20.3119,7.1,0.148,,91736,Asp...,
18.71,-7.0737,6.13,1.006,,91751,K0.5III,
18.7103,15.1994,6.91,0.067,,91752,A0,
18.7105,55.5395,5.03,-0.07,,91755,B9.5p...,
18.7111,-15.522,6.95,0.921,,91758,G6/G8III,
18.7124,14.8423,7.23,0,,91764,A0,
18.7141,47.5752,6.95,0.302,,91775,A2,
18.7148,-39.2857,7.01,-0.062,,91777,B5III/IV,
18.7153,-19.2842,6.32,1.591,,91781,M4III,
18.7154,44.9253,7.17,0.889,,91782,G5IV,
18.7173,-71.4281,4.01,1.134,,91792,K2III,
18.7175,-78.0663,6.77,0.458,,91795,F5IV/V,
18.7195,70.7928,6.28,1.234,,91811,K2,
18.7213,39.3001,6.45,1.59,,91820,K5,
18.7247,53.8718,6.18,0.094,,91843,A2IV,
18.7253,-8.2752,4.88,1.112,,91845,G8II,
18.7255,-11.337,6.95,1.813,,91847,K5,
18.7262,-8.3683,7.06,1.323,,91851,K0,
18.7267,36.5566,6.04,1.04,Xihe,91852,G8,
