ra,dec,mag,ci,proper,hip,spect,gl
0.311,22.8797,7.14,0.885,,1495,G8IV,
0.3113,44.63,7.05,0.115,,1496,A2,
0.3116,-8.053,6.47,0.674,,1499,G0V,Gl 16.1
0.3117,43.7911,6.1,-0.074,,1501,B8V,
0.3118,-43.2356,6.33,1.21,,1502,K2III,
0.3238,-8.8239,3.56,1.214,,1562,K2III,
0.3268,-7.224,7.03,0.508,,1573,F5,
0.3282,40.7295,6.35,1.179,,1575,K1III,
0.3308,-2.4789,6.96,0.848,,1587,G5,
0.3323,16.2509,6.6,0.979,,1595,K0,
0.3335,38.2274,6.97,0.64,,1598,G0,
0.3341,-64.8748,4.23,0.576,,1599,F9V,Gl 17
0.3342,-17.7004,6.73,1.249,,1600,K1III/IV,
0.3347,6.2926,6.81,1.532,,1602,K0,
0.3348,48.8654,6.53,0.051,,1603,A0Vs,
0.3363,-13.0615,6.85,1.028,,1611,G8III,
0.3401,30.9356,5.89,-0.098,,1630,B7V,
0.3418,10.9177,7.03,1.039,,1638,K0,
0.3419,48.9686,6.46,0.564,,1639,G0,
0.3425,45.5089,7,0.563,,1642,F5,
0.3428,56.5569,6.73,0.817,,1644,G5,
0.3433,8.1903,5.38,1.343,,1645,K3III,
0.3442,-69.6249,5.5,-0.046,,1647,B9V,
0.3454,61.8796,6.8,2.02,,1652,M2II:,
0.346,32.9112,5.79,1.595,,1657,K5III,
0.3468,-23.6302,6.78,0.311,,1660,F0IV,
0.3483,-39.2399,7.14,0.506,,1667,F6V,
0.3484,32.978,6.9,0.478,,1669,F5,
0.3485,10.9769,6.57,0.056,,1670,A0V,
0.3498,12.7717,7.2,0.271,,1677,A3,
0.3512,-2.9096,6.92,1.036,,1684,K0,
0.352,37.9686,5.16,0.442,,1686,F5III,
0.3541,-35.799,7.14,1.575,,1694,M0III,
0.3562,67.0054,7.23,0.01,,1700,A1V,
0.358,-77.4269,5.96,1.397,,1706,K3III,
0.3587,-28.9815,5.18,1.006,,1708,K0III,
0.3597,38.1871,6.86,1.094,,1715,K0,
0.3618,67.823,6.55,0.981,,1725,K0,
0.3629,-20.058,5.61,1.58,,1728,M5/M6Ib/II,
0.3706,-5.1919,7.11,0.146,,1755,A2,
0.3726,-50.9925,6.68,1.102,,1766,K2III,
0.3732,35.5363,7.02,1.61,,1769,K5,
0.3737,13.4825,6.25,1.225,,1772,K3III,
0.3799,54.6454,7.16,0.874,,1794,G5,
0.38,-39.2624,6.75,0.371,,1795,F2IV,
0.3805,29.4543,6.95,0.212,,1799,A3,
0.3811,-12.2094,6.39,0.659,,1803,G3V,Gl 17.3
0.3811,-37.4034,7.03,1.588,,1804,M0III,
0.3826,38.7543,6.69,1.556,,1809,M4III:,
0.3846,-15.9426,6.43,1.595,,1821,M0III,
0.3868,-31.0358,6.55,-0.06,,1830,B9IV,
0.3895,-29.8473,6.81,1.56,,1849,M2III,
0.3903,-18.8916,7.11,0.993,,1854,K0III,
0.3981,60.9614,6.57,0.38,,1892,F2,
0.4015,44.2647,6.66,0.413,,1905,F2,
0.4043,52.0199,5.58,-0.11,,1921,B5IV,
0.4082,-2.2191,6.08,1.216,,1939,K1III,
0.4106,14.3155,6.48,1.161,,1948,K0,
0.411,31.3731,6.76,-0.058,,1952,B9,
0.4124,-51.0439,6.81,0.596,,1955,G3IV,
0.4132,61.8311,5.38,0.008,,1960,B9III,
0.4138,-18.4719,6.9,1.426,,1962,K3III,
0.4184,53.0468,5.72,-0.056,,1982,B9IV,
0.4228,-39.2604,6.91,0.95,,2001,G8IV:,
0.4231,-17.4277,7.06,1.427,,2003,K3III,
0.4234,1.9397,5.77,0.855,,2006,G5III,
0.4279,-77.2542,2.82,0.618,,2021,G2IV,Gl 19
0.4283,54.9942,6.78,1.676,,2024,K2,
0.4283,7.6911,6.77,1.3,,2025,K0,
0.4293,-27.7102,6.88,1.293,,2032,K2III,
0.4309,71.8071,6.91,-0.023,,2036,B1V,
0.4344,20.1469,6.67,-0.036,,2058,B8,
0.4351,55.4909,7.12,1.201,,2063,K0,
0.4367,56.7792,6.71,0.879,,2074,G5III,
0.4367,-43.6798,3.93,0.175,,2072,A7V,Gl 20
0.4371,-39.6494,7.11,0.997,,2076,K0III/IV,
0.4379,3.8258,6.9,-0.128,,2080,B8,
0.4381,-42.306,2.4,1.083,Ankaa,2081,K0III...,
0.4394,-18.6936,6.24,1.622,,2086,M1III,
0.4394,49.049,6.94,1.294,,2087,K0,
0.4437,-0.0495,6.16,0.893,,2100,G8III,
0.4443,56.6412,6.58,0.021,,2101,B9V,
0.445,-69.3071,6.98,1.378,,2106,K4III,
0.4513,25.0421,6.66,0.487,,2135,F7IV,
0.4515,-5.0038,7.05,1.119,,2138,K0,
0.452,80.0521,6.53,-0.083,,2142,B9,
0.4535,49.9857,6.95,-0.014,,2151,B9,
0.4541,-25.5472,5.99,1.022,,2159,K0III,
0.4556,2.8141,7.18,0.894,,2166,G4III,
0.4562,-28.2432,7.01,0.967,,2169,G8/K0III,
0.4586,16.0255,6.44,0.23,,2178,A5,
0.4604,-20.1345,6.78,0.261,,2184,A9V,
0.4612,-16.4094,7.2,0.498,,2190,F5/F6V,
0.4655,-33.0072,4.86,1.634,,2210,M2/M3III,
0.4662,19.514,6.4,0.99,,2213,K0,
0.4675,17.8931,5.01,1.584,,2219,M3IIIvar,
0.4702,16.4451,6.05,1.58,,2224,K5III,
0.4705,44.3945,5.18,0.043,,2225,A2Vs,
0.4706,-29.0403,6.75,1.127,,2227,K1II,
0.4722,10.1898,6.05,0.447,,2235,F6Vawvar,
0.4725,-20.3351,6.44,0.594,,2237,G3V,
0.474,-29.2848,7.1,0.5,,2239,F5V,
0.474,-39.915,5.42,1.556,,2240,M0III,
0.4744,33.7989,7.13,1.018,,2241,K0,
0.4746,32.4377,6.87,0.106,,2243,A2p...,
0.4759,-11.2372,6.86,0.535,,2246,F5,
0.4786,-50.5329,6.26,1.09,,2256,K0III,
0.4808,-24.6367,7.14,0.318,,2263,A9V,
0.4824,36.8997,6.28,0.916,,2270,G5III,
0.4825,48.4137,7.04,1.617,,2271,M0,
0.4898,-40.6654,6.82,1.273,,2304,G8/K0III,
0.4915,-3.4693,6.95,1.307,,2312,K5,
0.4934,62.0642,7,1.06,,2320,K2III,
0.4942,-2.8404,6.89,1.457,,2323,K2,
0.4969,-32.116,6.59,1.351,,2330,K2/K3III,
0.4977,-14.8641,6.15,0.388,,2337,F2/F3V,
0.5007,-3.9573,5.72,1.545,,2353,M0III,
0.502,29.7516,5.2,0.271,,2355,A7III,
0.5024,4.8601,6.52,0.453,,2358,F5,
0.5055,59.9776,5.94,-0.003,,2377,B9IIIn,
0.5063,-23.7877,5.17,0.128,,2381,A3V,
